questionnaire label	session	unit	itemid	item	shortID	student/teacher/experimenter	itemfulltext	scale: stimme nicht zu /stimme eher nicht zu / stimme eher zu / stimme zu / keine Angabe / freie Angabe	value	ID-number	answered for	age	sex	experience	conception 	class 	age adult education		value																																							
Aperol_pilot_01_02_expert_A_quest	001	002	3	Klarheit und Strukturiertheit	ks_verständlich	exp	Die Lehrperson so erklärt, dass die Schüler*innen alles verstanden haben.			exp	A								4																																							
Aperol_pilot_01_02_expert_A_quest	001	002	3	Klarheit und Strukturiertheit	ks_sichtbar	exp	Der Lernstoff wurde sichtbar gemacht, zum Beipsiel durch Schaubild, Mindmap, Poster oder Zeichnung.			exp	A								4																																							
Aperol_pilot_01_02_expert_A_quest	001	002	3	Klarheit und Strukturiertheit	ks_deutlich	exp	Die Lehrperson hat darauf geachtet, dass jede*r klar und deutlich spricht.			exp	A								2																																							
Aperol_pilot_01_02_expert_A_quest	001	002	3	Klarheit und Strukturiertheit	ks_zusammenfassend	exp	Die wichtigsten Punkte wurden zusammengefasst.			exp	A								3																																							
Aperol_pilot_01_02_expert_A_quest	001	002	4	Aktivierungund Förderung	af_beiträge	exp	Die Schüler*innen haben sich mit eigenen Beiträgen am Unterrichtsbespräch beteiligt. 			exp	A								4																																							
Aperol_pilot_01_02_expert_A_quest	001	002	4	Aktivierungund Förderung	af_wechselseitig	exp	Die Schüler*innen haben sich wechselseitig etwas erklärt, sich Fragen gestellt oder Rückmeldung gegeben.			exp	A								4																																							
Aperol_pilot_01_02_expert_A_quest	001	002	4	Aktivierungund Förderung	af_nachdenken	exp	Es gab Fragen oder Aufgaben, bei denen die Schüler*innen richtig nachdenken mussten.			exp	A								4																																							
Aperol_pilot_01_02_expert_A_quest	001	002	4	Aktivierungund Förderung	af_schwierigkeit	exp	Den Schüler*innen standen Aufgaben mit unterschiedlichen Schwierigkeitsstufen und unterschiedlichen Hilfen zur Wahl.			exp	A								2																																							
Aperol_pilot_01_02_expert_A_quest	001	002	4	Aktivierungund Förderung	af_individuell	exp	Es gab Aufgaben, bei denen die Schüler*innen selbst entscheiden konnten, auf welche Weise sie sie bearbeiten.			exp	A								2																																							
Aperol_pilot_01_02_expert_A_quest	001	002	4	Aktivierungund Förderung	af_beherrschen	exp	Die Lehrperson hat darauf geachtet, dass alle den Lernstoff des Unterrichts sicher beherrschen. 			exp	A								2																																							
Aperol_pilot_01_02_expert_A_quest	001	002	5	Präsenz/Haltung_Blick	phb_stand	exp	Die Lehrperson stand gerade und aufrecht. 			exp	A								3																																							
Aperol_pilot_01_02_expert_A_quest	001	002	5	Präsenz/Haltung_Blick	phb_augen	exp	Die Lehrperson hat den Schüler*innen direkt in die Augen geschaut. 			exp	A								3																																							
Aperol_pilot_01_02_expert_A_quest	001	002	5	Präsenz/Haltung_Blick	phb_blick	exp	Die Lehrperson hatte die ganze Klasse im Blick. 			exp	A								3																																							
Aperol_pilot_01_02_expert_A_quest	001	002	5	Präsenz/Haltung_Blick	phb_vorsichgeht	exp	Die Lehrperson wusste immer genau, was in der Klasse vor sich geht. 			exp	A								2																																							
Aperol_pilot_01_02_expert_A_quest	001	002	5	Präsenz/Haltung_Blick	phb_raum	exp	Während der Stunde ging die Lehrperson oft durch die Reihen der Klasse.			exp	A								1																																							
Aperol_pilot_01_02_expert_A_quest	001	002	5	Präsenz/Haltung_Blick	phb_gestik	exp	Die Gestik und Mimik unterstützt den Ausdruck der Lehrperson. 			exp	A								4																																							
Aperol_pilot_01_02_expert_A_quest	001	002	5	Präsenz/Haltung_Blick	phb_alleangesehen	exp	Ich hatte den Eindruck, dass die Lehrperson alle oft angesehen hat.			exp	A								3																																							
Aperol_pilot_01_02_expert_A_quest	001	002	6	Präsenz/Stimme  	ps_deutlich	exp	Die Lehrperson hat klar, deutlich und langsam gesprochen.			exp	A								3																																							
Aperol_pilot_01_02_expert_A_quest	001	002	6	Präsenz/Stimme  	ps_klar	exp	Die Lehrperson hat sich klar und verständlich ausgedrückt.			exp	A								3																																							
Aperol_pilot_01_02_expert_A_quest	001	002	6	Präsenz/Stimme  	ps_impulse	exp	Die Arbeitsaufträge waren präzise, klar und kurz formiliert.			exp	A								2																																							
Aperol_pilot_01_02_expert_A_quest	001	002	6	Präsenz/Stimme 	ps_vorgehen	exp	Vor einem Methodenwechsel erklärte die Lehrperson nochmals kurz das Vorgehen und die geltenden Regeln (z.B. bei Gruppenarbeit).			exp	A								1																																							
Aperol_pilot_01_02_expert_A_quest	001	002	7	Präsenz/Stimme  	ps_redeanteil	exp	Meine Einschätzung des Redeanteils der Lehrperson liegt bei ___%.			exp	A								70																																							
Aperol_pilot_01_02_expert_A_quest	001	002	7	Präsenz/verbale_nonberbale Intervention	pi_nonverbal	exp	Bei Unterrichtsstörungen hat die Lehrperson oft nonverbale Signale, wie z.B. Stirnrunteln oder mahnende Blicke, verwendet.			exp	A								2																																							
Aperol_pilot_01_02_expert_A_quest	001	002	7	Präsenz/verbale_nonberbale Intervention	pi_zubewegen	exp	Bei Unterrichtssörungen hat die Lehrperson sie oft auf störende/unruhig werdende Schüler*innen zubewegt, um sie zu ermahnen.			exp	A								2																																							
Aperol_pilot_01_02_expert_A_quest	001	002	7	Präsenz/verbale_nonberbale Intervention	pi_direkt	exp	Bei Unterrichtsstörungen hat die Leherspersoin störende Schüler*innen direkt angesprochen.			exp	A								3																																							
Aperol_pilot_01_02_expert_A_quest	001	002	8	Manipulationsitem	m_natürlich	exp	Während der Stunde hat sich die Lehrperson sehr natürlich verhalten.			exp	A								3																																							
Aperol_pilot_01_02_expert_A_quest	001	002	8	Manipulationsitem	m_fiktiv	exp	Ich hatte den Eindruck, dass es für die Lehrperson kein Problem war, vor einer fiktiven Klassen zu unterrichten.			exp	A								3																																							
Aperol_pilot_01_02_expert_A_quest	001	002	8	Manipulationsitem 	m_verhalten	exp	Ich hatte den Eiundruck, dass sich die Leherperson beim Unterrichten vor der fiktiven Klasse so verhalten hat, wie sie es auch in Stunde tun würde. 			exp	A								3																																							
Aperol_pilot_01_02_expert_A_quest	001	002	1	Klassenmanagement	lkm_lernstoff	t	Die gesamte Unterrichtssequenz wurde für den Lernstoff verwendet.			A	A	44	m						3																																							
Aperol_pilot_01_02_expert_A_quest	001	002	1	Klassenmanagement	lkm_mitbekommen	t	Ich habe alles mitbekommen, was in der Klasse passiert ist.			A	A	44	m						3																																							
Aperol_pilot_01_02_expert_A_quest	001	002	1	Klassenmanagement	lkm_klar	t	Den Schüler*innen war jederzeit klar, was sie tun sollten.			A	A	44	m						2																																							
Aperol_pilot_01_02_expert_A_quest	001	002	1	Klassenmanagement	lkm_unegstört	t	Die Schüler*innen konnten ungestört arbeiten.			A	A	44	m						2																																							
Aperol_pilot_01_02_expert_A_quest	001	002	1	Klassenmanagement	lkm_aktiv	t	Die Schüler*innen war die ganze Stunde über aktiv bei der Sache.			A	A	44	m						2																																							
Aperol_pilot_01_02_expert_A_quest	001	002	2	Lernförderliches Klima und Motivierung	lkm_freundlich	t	Ich war freundlich zu den Schüler*innen.			A	A	44	m						3																																							
Aperol_pilot_01_02_expert_A_quest	001	002	2	Lernförderliches Klima und Motivierung	lkm_interesse	t	Es gab Aufgaben, die etwas mit den Interessen oder den Alltagerfahrungen der Schüler*innen zu tun haben. 			A	A	44	m						3																																							
Aperol_pilot_01_02_expert_A_quest	001	002	2	Lernförderliches Klima und Motivierung	lkm_kritik	t	Ich habe Fehler nicht kritisiert, sondern als Lerngelegenheit betrachtet.			A	A	44	m						2																																							
Aperol_pilot_01_02_expert_A_quest	001	002	2	Lernförderliches Klima und Motivierung	lkm_ausreden	t	Ich habe die Schüler*innen ausreden lassen, wenn sie dran waren. 			A	A	44	m						3																																							
Aperol_pilot_01_02_expert_A_quest	001	002	2	Lernförderliches Klima und Motivierung	lkm_überlegen	t	Wenn ich Fragen oder Aufgaben gestellt habe, habe ich den Lernenden ausreichend Zeit zum Überlegen gelassen.			A	A	44	m						3																																							
Aperol_pilot_01_02_expert_A_quest	001	002	2	Lernförderliches Klima und Motivierung	lkm_rückmeldungen	t	Meine Hinweise und Rückmeldungen waren für die Schüler*innen hilfreich.			A	A	44	m						2																																							
Aperol_pilot_01_02_expert_A_quest	001	002	3	Klarheit und Strukturiertheit	lkm_funktion	t	Die Schüler*innen ist klar, was sie in dieser Stunde lernen sollten.			A	A	44	m						2																																							
Aperol_pilot_01_02_expert_A_quest	001	002	3	Klarheit und Strukturiertheit	ks_verständlich	t	Ich habe so erklärt, dass die Lernenden alles verstanden haben.			A	A	44	m						3																																							
Aperol_pilot_01_02_expert_A_quest	001	002	3	Klarheit und Strukturiertheit	ks_sichtbar	t	Der Lernstoff wurde siochtbar gemacht, zum Biepsile durch Schaubild, Mindmap, Poster oder Zeichnung.			A	A	44	m						1																																							
Aperol_pilot_01_02_expert_A_quest	001	002	3	Klarheit und Strukturiertheit	ks_deutlich	t	Ich habe darauf geachtet, dass jede*r klar und deutlich spricht.			A	A	44	m						3																																							
Aperol_pilot_01_02_expert_A_quest	001	002	3	Klarheit und Strukturiertheit	ks_zusammenfassend	t	Die wichtigesten Punkte wurden zusammengefasst.			A	A	44	m						1																																							
Aperol_pilot_01_02_expert_A_quest	001	002	4	Aktivierungund Förderung	af_beiträge	t	Die Schüler*innen haben sich mit eigenen Beiträgen am Unterrichtsbespräch beteiligt. 			A	A	44	m						3																																							
Aperol_pilot_01_02_expert_A_quest	001	002	4	Aktivierungund Förderung	af_wechselseitig	t	Die Schüler*innen haben sich wechselseitig etwas erklärt, sich Fragen gestellt oder Rückmeldung gegeben.			A	A	44	m						2																																							
Aperol_pilot_01_02_expert_A_quest	001	002	4	Aktivierungund Förderung	af_nachdenken	t	Es gab Fragen oder Antworten, bei denen die Schüler*innen richtig nachdenken mussten.			A	A	44	m						2																																							
Aperol_pilot_01_02_expert_A_quest	001	002	4	Aktivierungund Förderung	af_schwierigkeit	t	Den Schüler*innen standen Aufgaben mit unterschiedlichen Schwierigkeitesstufen und unterschiedlichen Hilfen zur Wahl.			A	A	44	m						1																																							
Aperol_pilot_01_02_expert_A_quest	001	002	4	Aktivierungund Förderung	af_individuell	t	Es gab Aufgaben, bei denen die Schüler*innen selbst entscheiden konnten, auf welche Weise sie sie bearbeiten.			A	A	44	m						1																																							
Aperol_pilot_01_02_expert_A_quest	001	002	4	Aktivierungund Förderung	af_beherrschen	t	Ich habe darauf geachtet, dass alle den Lernstoff des Unterrichts sicher beherschen.			A	A	44	m						2																																							
Aperol_pilot_01_02_expert_A_quest	001	002	5	Präsenz/Haltung_Blick	phb_stand	t	Ich stand gerade und aufrcht. 			A	A	44	m						3																																							
Aperol_pilot_01_02_expert_A_quest	001	002	5	Präsenz/Haltung_Blick	phb_augen	t	Ich habe den Schüler*innen direkt in die Aufgen geschaut.			A	A	44	m						4																																							
Aperol_pilot_01_02_expert_A_quest	001	002	5	Präsenz/Haltung_Blick	phb_blick	t	Ich hatte die ganze Klasse im Blick. 			A	A	44	m						3																																							
Aperol_pilot_01_02_expert_A_quest	001	002	5	Präsenz/Haltung_Blick	phb_vorsichgeht	t	Ich wusste immer genau, was in der Klasse vor sich geht. 			A	A	44	m						2																																							
Aperol_pilot_01_02_expert_A_quest	001	002	5	Präsenz/Haltung_Blick	phb_raum	t	Während der Stunde ging ich oft durch die Reihen der Klasse.			A	A	44	m						1																																							
Aperol_pilot_01_02_expert_A_quest	001	002	5	Präsenz/Haltung_Blick	phb_gestik	t	Die Gestik und Mimik untersützten meinen Ausruck.			A	A	44	m						2																																							
Aperol_pilot_01_02_expert_A_quest	001	002	5	Präsenz/Haltung_Blick	phb_alleangesehen	t	Ich hatte den Eindruck, dass ich alle oft angesehen habe. 			A	A	44	m						3																																							
Aperol_pilot_01_02_expert_A_quest	001	002	6	Präsenz/Stimme  	ps_deutlich	t	Ich habe klar, deutlich und langsam gesprochen			A	A	44	m						3																																							
Aperol_pilot_01_02_expert_A_quest	001	002	6	Präsenz/Stimme  	ps_klar	t	Ich habe mich klar und verständlich ausgedrückt.			A	A	44	m						3																																							
Aperol_pilot_01_02_expert_A_quest	001	002	6	Präsenz/Stimme  	ps_impulse	t	Die Arbeitsaufträge waren präzise, klar und kurz formuliert.			A	A	44	m						2																																							
Aperol_pilot_01_02_expert_A_quest	001	002	6	Präsenz/Stimme 	ps_vorgehen	t	Vor einem Methodenwechsel erklärte ich nochmals kurz das Vorgehen und die geltenden Regeln (z.B. bei Gruppenarbeit).			A	A	44	m						2																																							
Aperol_pilot_01_02_expert_A_quest	001	002	7	Präsenz/Stimme  	ps_redeanteil	t	Meine Einschätzung meines Redeanteils liegt bei __%.			A	A	44	m						77																																							
Aperol_pilot_01_02_expert_A_quest	001	002	7	Präsenz/verbale_nonberbale Intervention	pi_nonverbal	t	Bei Unterrichtsstörungen haben ich oft nonverbale Signale, wie z.B. Stirnrunzeln oder mahnende Blicke verwendet.			A	A	44	m						2																																							
Aperol_pilot_01_02_expert_A_quest	001	002	7	Präsenz/verbale_nonberbale Intervention	pi_zubewegen	t	Bei Unterrichtsstärungen habe ich mich oft auf störende/unruhig werdende Schüler*innen zubewegt, um sie zu ermahnen.			A	A	44	m						2																																							
Aperol_pilot_01_02_expert_A_quest	001	002	7	Präsenz/verbale_nonberbale Intervention	pi_direkt	t	Bei Unterrrichtsstörungen habe ich störende Schüler*innen direkt angesprochen.			A	A	44	m						3																																							
Aperol_pilot_01_02_expert_A_quest	001	002	8	Manipulationsitem	m_natürlich	t	Während der Stunde habe ich mich sehr natürlich verhalten.			A	A	44	m						2																																							
Aperol_pilot_01_02_expert_A_quest	001	002	8	Manipulationsitem	m_fiktiv	t	Es war für mich kein Problem, vor einer fiktiven Klassen zu unterrichten.			A	A	44	m						2																																							
Aperol_pilot_01_02_expert_A_quest	001	002	8	Manipulationsitem 	m_verhalten	t	Beim Unterrichten habe ich mich vor der fiktiven Klasse so verhalteb, wie ich es auch in der Schule tun würde. 			A	A	44	m						3																																							
Aperol_pilot_01_02_expert_A_quest	001	002	1	Klassenmanagement	km_lernstoff	s	Die gesamte Unterrichtsstunde wurde für den Lernstoff verwendet.			B	A	29	w						4																																							
Aperol_pilot_01_02_expert_A_quest	001	002	1	Klassenmanagement	km_mitbekommen	s	Die Lehrperson hat alles mitbekommen, was in der Klasse passiert ist.			B	A	29	w						4																																							
Aperol_pilot_01_02_expert_A_quest	001	002	1	Klassenmanagement	kkm_klar	s	Den Schüler*innen war jederzeit klar, was sie tun sollten.			B	A	29	w						4																																							
Aperol_pilot_01_02_expert_A_quest	001	002	1	Klassenmanagement	km_unegstört	s	Die Schüler*innen konnten ungestört arbeiten. 			B	A	29	w						4																																							
Aperol_pilot_01_02_expert_A_quest	001	002	1	Klassenmanagement	km_aktiv	s	Die Schüler*innen waren die ganze Stunde über aktiv bei der Sache.			B	A	29	w						4																																							
Aperol_pilot_01_02_expert_A_quest	001	002	2	Lernförderliches Klima und Motivierung	lkm_freundlich	s	Die Lehrperson war freundlich zu den Schüler*innen.			B	A	29	w						4																																							
Aperol_pilot_01_02_expert_A_quest	001	002	2	Lernförderliches Klima und Motivierung	lkm_interesse	s	Es gab Aufgaben, die etwas mit den Interessen oder den Alltagerfahrungen der Schüler*innen zu tun haben. 			B	A	29	w						4																																							
Aperol_pilot_01_02_expert_A_quest	001	002	2	Lernförderliches Klima und Motivierung	lkm_kritik	s	Die Lehrperson hat Fehler nicht kritisiert, sondern als Lehrgelegenheit betrachtet. 			B	A	29	w						4																																							
Aperol_pilot_01_02_expert_A_quest	001	002	2	Lernförderliches Klima und Motivierung	lkm_ausreden	s	Die Lehrperson die Schüler*innen ausreden lasse, wenn sie dran waren.			B	A	29	w						4																																							
Aperol_pilot_01_02_expert_A_quest	001	002	2	Lernförderliches Klima und Motivierung	lkm_überlegen	s	Wenn die Lehrperson Fragen oder Aufgaben gestellt hat, hat sie den Schüler*innen ausreichend Zeit zum Überlegen gegeben.			B	A	29	w						4																																							
Aperol_pilot_01_02_expert_A_quest	001	002	2	Lernförderliches Klima und Motivierung	lkm_rückmeldungen	s	Die Hinweise und rückmeldungn der Leherperson waren für die Schüler*innen hilfreich.			B	A	29	w						4																																							
Aperol_pilot_01_02_expert_A_quest	001	002	3	Klarheit und Strukturiertheit	lkm_funktion	s	Den Schüler*innen ist klar, was sie in dieser Stunde lernen sollten.			B	A	29	w						4																																							
Aperol_pilot_01_02_expert_A_quest	001	002	3	Klarheit und Strukturiertheit	ks_verständlich	s	Die Lehrperson so erklärt, dass die Schüler*innen alles verstanden haben.			B	A	29	w						4																																							
Aperol_pilot_01_02_expert_A_quest	001	002	3	Klarheit und Strukturiertheit	ks_sichtbar	s	Der Lernstoff wurde sichtbar gemacht, zum Beispiel durch Schaubild, Mindmap, Poster oder Zeichnung.			B	A	29	w						4																																							
Aperol_pilot_01_02_expert_A_quest	001	002	3	Klarheit und Strukturiertheit	ks_deutlich	s	Die Lehrperson hat darauf geachtet, dass jede*r klar und deutlich spricht.			B	A	29	w						1																																							
Aperol_pilot_01_02_expert_A_quest	001	002	3	Klarheit und Strukturiertheit	ks_zusammenfassend	s	Die wichtigsten Punkte wurden zusammengefasst.			B	A	29	w						4																																							
Aperol_pilot_01_02_expert_A_quest	001	002	4	Aktivierungund Förderung	af_beiträge	s	Die Schüler*innen haben sich mit eigenen Beiträgen am Unterrichtsgespräch beteiligt. 			B	A	29	w						4																																							
Aperol_pilot_01_02_expert_A_quest	001	002	4	Aktivierungund Förderung	af_wechselseitig	s	Die Schüler*innen haben sich wechselseitig etwas erklärt, sich Fragen gestellt oder Rückmeldung gegeben.			B	A	29	w						4																																							
Aperol_pilot_01_02_expert_A_quest	001	002	4	Aktivierungund Förderung	af_nachdenken	s	Es gab Fragen oder Aufgaben, bei denen die Schüler*innen richtig nachdenken mussten.			B	A	29	w						4																																							
Aperol_pilot_01_02_expert_A_quest	001	002	4	Aktivierungund Förderung	af_schwierigkeit	s	Den Schüler*innen standen Aufgaben mit unterschiedlichen Schwierigkeitsstufen und unterschiedlichen Hilfen zur Wahl.			B	A	29	w						4																																							
Aperol_pilot_01_02_expert_A_quest	001	002	4	Aktivierungund Förderung	af_individuell	s	Es gab Aufgaben, bei denen die Schüler*innen selbst entscheiden konnten, auf welche Weise sie sie bearbeiten.			B	A	29	w						4																																							
Aperol_pilot_01_02_expert_A_quest	001	002	4	Aktivierungund Förderung	af_beherrschen	s	Die Lehrperson hat darauf geachtet, dass alle den Lernstoff des Unterrichts sicher beherschen.			B	A	29	w						4																																							
Aperol_pilot_01_02_expert_A_quest	001	002	5	Präsenz/Haltung_Blick	phb_stand	s	Die Lehrperson stand gerade und aufrecht. 			B	A	29	w						3																																							
Aperol_pilot_01_02_expert_A_quest	001	002	5	Präsenz/Haltung_Blick	phb_augen	s	Die Lehrperson hat den Schüler*innen direkt in die aufgen geschaut. 			B	A	29	w						3																																							
Aperol_pilot_01_02_expert_A_quest	001	002	5	Präsenz/Haltung_Blick	phb_blick	s	Die Lehrperson hatte die ganze Klasse im Blick. 			B	A	29	w						4																																							
Aperol_pilot_01_02_expert_A_quest	001	002	5	Präsenz/Haltung_Blick	phb_vorsichgeht	s	Die Lehrperson wusste immer genau, was in der Klasse vor sich geht. 			B	A	29	w						4																																							
Aperol_pilot_01_02_expert_A_quest	001	002	5	Präsenz/Haltung_Blick	phb_raum	s	Während der Stunde ging die Lehrperson oft durch die Reihen der Klasse.			B	A	29	w						4																																							
Aperol_pilot_01_02_expert_A_quest	001	002	5	Präsenz/Haltung_Blick	phb_gestik	s	Die Gestik und Mimik unterstützen den Ausdruck der Lehrperson. 			B	A	29	w						4																																							
Aperol_pilot_01_02_expert_A_quest	001	002	5	Präsenz/Haltung_Blick	phb_alleangesehen	s	Ich hatte den Eindruck, dass die Lehrperson alle oft angesehen hat.			B	A	29	w						4																																							
Aperol_pilot_01_02_expert_A_quest	001	002	6	Präsenz/Stimme  	ps_deutlich	s	Die Lehrperson hat klar, deutlich und langsam gesprochen.			B	A	29	w						4																																							
Aperol_pilot_01_02_expert_A_quest	001	002	6	Präsenz/Stimme  	ps_klar	s	Die Lehrperson hat sich klar und verständlich ausgedrückt.			B	A	29	w						4																																							
Aperol_pilot_01_02_expert_A_quest	001	002	6	Präsenz/Stimme  	ps_impulse	s	Die Arbeitsaufträge waren präzise, klar und kurz formuliert.			B	A	29	w						4																																							
Aperol_pilot_01_02_expert_A_quest	001	002	6	Präsenz/Stimme 	ps_vorgehen	s	Vor einem Methodenwechsel erklärte die Lehrperson nochmals kurz das Vorgehen und die geltenden Regeln (z.B. bei Gruppenarbeit).			B	A	29	w						3																																							
Aperol_pilot_01_02_expert_A_quest	001	002	7	Präsenz/Stimme  	ps_redeanteil	s	Meine Einschätzung des Redeanteils der Lehrperson liegt bei ___%.			B	A	29	w						60																																							
Aperol_pilot_01_02_expert_A_quest	001	002	7	Präsenz/verbale_nonberbale Intervention	pi_nonverbal	s	Bei Unterrichtsstärungen hat die Lehrperson oft nonverbale Signale, wie z.B. Stirnrunzeln oder mahnende Blicke verwendet.			B	A	29	w						3																																							
Aperol_pilot_01_02_expert_A_quest	001	002	7	Präsenz/verbale_nonberbale Intervention	pi_zubewegen	s	Bei Unterrichtsstörungen hat die Leherperson sich oft auf störende/unruhig werdende Schüler*innen zubewegt, um sie zu ermahnen.+			B	A	29	w						3																																							
Aperol_pilot_01_02_expert_A_quest	001	002	7	Präsenz/verbale_nonberbale Intervention	pi_direkt	s	Bei Unterrichtsstörungen hat die Lehrperson störende Schüler*innen direkt angesprochen.			B	A	29	w						4																																							
Aperol_pilot_01_02_expert_A_quest	001	002	8	Manipulationsitem	m_natürlich	s	Während der Stunde hat sich die Lehrperson sehr natürlich verhalten.			B	A	29	w						4																																							
Aperol_pilot_01_02_expert_A_quest	001	002	8	Manipulationsitem	m_fiktiv	s	Ich hatte den Eindruck, dass es für die Lehrperson keine Problem war, vor einer fiktiven Klasse zu unterrichten.			B	A	29	w						3																																							
Aperol_pilot_01_02_expert_A_quest	001	002	8	Manipulationsitem 	m_verhalten	s	Ich hatte den Eindruck, dass sich die Lehrperson beim Unterrichten vor der fiktiven Klasse so verhalten, wie sie es auch in der Schule tun würde. 			B	A	29	w						3																																							
Aperol_pilot_01_02_expert_A_quest	001	002	1	Klassenmanagement	km_lernstoff	s	Die gesamte Unterrichtsstunde wurde für den Lernstoff verwendet.			C	A	33	m						3																																							
Aperol_pilot_01_02_expert_A_quest	001	002	1	Klassenmanagement	km_mitbekommen	s	Die Lehrperson hat alles mitbekommen, was in der Klasse passiert ist.			C	A	33	m						1																																							
Aperol_pilot_01_02_expert_A_quest	001	002	1	Klassenmanagement	kkm_klar	s	Den Schüler*innen war jederzeit klar, was sie tun sollten.			C	A	33	m						3																																							
Aperol_pilot_01_02_expert_A_quest	001	002	1	Klassenmanagement	km_unegstört	s	Die Schüler*innen konnten ungestört arbeiten. 			C	A	33	m						3																																							
Aperol_pilot_01_02_expert_A_quest	001	002	1	Klassenmanagement	km_aktiv	s	Die Schüler*innen waren die ganze Stunde über aktiv bei der Sache.			C	A	33	m						2																																							
Aperol_pilot_01_02_expert_A_quest	001	002	2	Lernförderliches Klima und Motivierung	lkm_freundlich	s	Die Lehrperson war freundlich zu den Schüler*innen.			C	A	33	m						3																																							
Aperol_pilot_01_02_expert_A_quest	001	002	2	Lernförderliches Klima und Motivierung	lkm_interesse	s	Es gab Aufgaben, die etwas mit den Interessen oder den Alltagerfahrungen der Schüler*innen zu tun haben. 			C	A	33	m						4																																							
Aperol_pilot_01_02_expert_A_quest	001	002	2	Lernförderliches Klima und Motivierung	lkm_kritik	s	Die Lehrperson hat Fehler nicht kritisiert, sondern als Lehrgelegenheit betrachtet. 			C	A	33	m						4																																							
Aperol_pilot_01_02_expert_A_quest	001	002	2	Lernförderliches Klima und Motivierung	lkm_ausreden	s	Die Lehrperson die Schüler*innen ausreden lasse, wenn sie dran waren.			C	A	33	m						4																																							
Aperol_pilot_01_02_expert_A_quest	001	002	2	Lernförderliches Klima und Motivierung	lkm_überlegen	s	Wenn die Lehrperson Fragen oder Aufgaben gestellt hat, hat sie den Schüler*innen ausreichend Zeit zum Überlegen gegeben.			C	A	33	m						4																																							
Aperol_pilot_01_02_expert_A_quest	001	002	2	Lernförderliches Klima und Motivierung	lkm_rückmeldungen	s	Die Hinweise und rückmeldungn der Leherperson waren für die Schüler*innen hilfreich.			C	A	33	m						4																																							
Aperol_pilot_01_02_expert_A_quest	001	002	3	Klarheit und Strukturiertheit	lkm_funktion	s	Den Schüler*innen ist klar, was sie in dieser Stunde lernen sollten.			C	A	33	m						4																																							
Aperol_pilot_01_02_expert_A_quest	001	002	3	Klarheit und Strukturiertheit	ks_verständlich	s	Die Lehrperson so erklärt, dass die Schüler*innen alles verstanden haben.			C	A	33	m						4																																							
Aperol_pilot_01_02_expert_A_quest	001	002	3	Klarheit und Strukturiertheit	ks_sichtbar	s	Der Lernstoff wurde sichtbar gemacht, zum Beispiel durch Schaubild, Mindmap, Poster oder Zeichnung.			C	A	33	m						4																																							
