Recording	Participant	Variable1	TOI	Interval	Media	Duration_of_interval	Start_of_interval	Total_duration_of_whole_fixations	Average_duration_of_whole_fixations	Number_of_whole_fixations
Recording038	02_02_B	Novice	Clicking pen	1	fullstream	9409	130124	7436	620	12
Recording038	02_02_B	Novice	Drawing on paper	1	fullstream	147788	180119	112893	383	295
Recording038	02_02_B	Novice	Drumming hands	1	fullstream	24699	352279	19648	786	25
Recording038	02_02_B	Novice	Looking at phone	1	fullstream	16321	421887	11653	613	19
Recording038	02_02_B	Novice	Putting head on table	1	fullstream	11322	495760	8715	436	20
Recording038	02_02_B	Novice	Yelling	1	fullstream	2548	247600	1199	240	5
Recording039	02_03_C	Novice	Asking question	1	fullstream	8045	375744	4877	610	8
Recording039	02_03_C	Novice	Calibration phase	1	fullstream	16494	6462	14151	786	18
Recording039	02_03_C	Novice	Chatting with neighbour	1	fullstream	11713	617128	7975	725	11
Recording039	02_03_C	Novice	Clicking pen	1	fullstream	16269	196737	13712	508	27
Recording039	02_03_C	Novice	Drawing on paper	1	fullstream	26495	245052	17270	375	46
Recording039	02_03_C	Novice	Drumming hands	1	fullstream	27775	418568	15211	310	49
Recording039	02_03_C	Novice	Looking at phone	1	fullstream	28223	321051	16350	348	47
Recording039	02_03_C	Novice	Putting head on table	1	fullstream	61713	591704	38177	471	81
Recording039	02_03_C	Novice	Yelling	1	fullstream	2992	137687	2678	1339	2
Recording040	02_04_D	Novice	Asking question	1	fullstream	6595	651346	2798	466	6
Recording040	02_04_D	Novice	Calibration phase	1	fullstream	20964	3690	19128	1366	14
Recording040	02_04_D	Novice	Chatting with neighbour	1	fullstream	11443	205906	4757	1189	4
Recording040	02_04_D	Novice	Clicking pen	1	fullstream	24220	415948	18029	949	19
Recording040	02_04_D	Novice	Drawing on paper	1	fullstream	27915	313381	4297	391	11
Recording040	02_04_D	Novice	Drumming hands	1	fullstream	14998	539574	10154	1128	9
Recording040	02_04_D	Novice	Looking at phone	1	fullstream	31944	538922	17809	937	19
Recording040	02_04_D	Novice	Putting head on table	1	fullstream	57484	241586	31121	741	42
Recording040	02_04_D	Novice	Yelling	1	fullstream	12416	353527	420	420	1
